,Potential_Customer,Cust_Last_Purchase,InAct_Last,InAct_First,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,total_pur_3years,total_pur_5years,total_ad_res_1year,total_ad_res_3years,total_ad_res_5years
906,0,15.0,19,29,A,0,27.0,F,U,52147.0,4,5,19,38,34
907,0,15.0,16,16,F,0,51.0,M,H,62830.0,2,2,16,23,19
908,0,15.0,17,28,A,0,73.0,M,U,62830.0,4,4,19,38,34
909,1,15.0,6,123,A,1,83.0,F,H,62830.0,6,40,35,65,136
910,0,2.0,18,78,A,0,51.0,M,U,62830.0,2,6,19,40,68
911,1,2.0,17,88,S,1,51.0,F,H,41607.0,8,29,17,40,77
912,1,3.0,17,41,A,1,68.0,M,H,41607.0,12,18,32,58,67
913,1,13.0,19,44,S,1,65.0,F,U,62781.0,8,15,18,47,54
914,0,10.0,17,36,A,0,55.0,F,U,62781.0,4,5,19,50,47
915,0,10.0,15,17,N,0,55.0,M,U,62781.0,3,4,16,22,20
916,0,10.0,16,127,A,0,55.0,M,H,39314.0,6,18,17,41,95
917,1,10.0,26,113,A,1,61.0,M,H,46777.0,1,18,15,36,95
918,1,10.0,20,113,A,1,47.0,M,U,46777.0,3,42,17,48,111
919,1,38.0,16,129,S,1,47.0,F,H,56969.0,21,69,18,49,121
920,1,10.0,20,20,F,0,23.0,M,U,46002.0,2,2,11,20,18
921,0,30.0,18,122,A,1,62.0,F,H,40708.0,2,28,18,39,102
922,0,30.0,19,93,S,1,51.0,F,H,40708.0,4,15,19,48,87
923,1,30.0,17,17,F,0,65.0,M,H,56250.0,2,2,16,23,20
924,0,17.0,19,86,A,0,70.0,M,U,56250.0,4,10,21,52,79
925,0,17.0,20,28,A,0,27.0,M,U,56250.0,3,3,14,31,29
926,1,17.0,17,41,S,1,27.0,M,U,56250.0,11,13,20,47,52
927,1,26.0,16,76,A,0,27.0,F,H,38906.0,1,7,16,33,64
928,0,20.0,16,28,A,0,17.0,M,H,61132.0,3,5,23,41,44
929,1,20.0,22,124,S,1,84.0,M,H,68869.0,9,42,19,48,108
930,1,17.0,15,75,A,1,74.0,F,H,68869.0,1,9,19,37,75
931,1,4.0,21,32,A,1,37.0,M,U,68869.0,11,12,17,41,39
932,0,20.0,17,17,F,0,23.0,F,U,27793.0,2,2,16,23,20
933,0,20.0,26,111,A,0,45.0,F,H,27793.0,1,9,13,32,80
934,0,20.0,16,27,A,1,35.0,F,U,44248.0,6,6,20,39,34
935,0,20.0,24,115,A,1,45.0,F,U,44248.0,1,19,15,34,102
936,1,20.0,18,33,A,0,65.0,M,H,32229.0,3,3,14,35,32
937,1,25.0,17,105,A,1,40.0,M,H,32229.0,2,11,20,47,89
938,0,13.0,18,57,S,1,41.0,F,H,40290.0,14,35,19,49,75
939,0,13.0,21,130,S,1,80.0,F,H,40290.0,7,56,24,54,140
940,1,13.0,21,128,S,1,71.0,F,H,47750.0,7,34,19,48,110
941,0,15.0,16,52,A,1,43.0,M,H,60584.0,11,15,20,51,57
942,1,15.0,16,77,A,0,43.0,F,U,60584.0,3,11,18,39,65
943,0,12.0,26,81,A,0,55.0,M,H,40032.0,1,4,14,25,40
944,1,12.0,4,87,A,1,79.0,M,U,40032.0,15,41,38,69,114
945,1,10.0,18,122,S,1,80.0,M,H,43600.0,6,19,22,53,102
946,0,25.0,16,105,S,1,87.0,M,U,43600.0,19,50,17,43,81
947,0,25.0,18,53,A,0,51.0,F,H,55378.0,4,8,19,50,62
948,1,25.0,16,68,A,0,27.0,M,H,59874.0,4,12,20,45,73
949,1,5.0,17,29,A,1,73.0,F,H,59874.0,11,12,18,37,35
950,0,20.0,20,42,A,0,69.0,F,H,72385.0,8,10,18,46,48
951,0,20.0,21,124,A,1,68.0,F,U,72385.0,6,49,19,47,110
952,1,20.0,25,65,A,0,67.0,M,H,91874.0,3,14,17,48,76
953,1,8.0,17,41,A,1,39.0,F,U,103549.0,8,12,20,51,55
954,0,4.0,15,112,A,0,76.0,M,H,40723.0,2,11,19,39,89
955,0,4.0,26,130,A,1,76.0,M,U,40723.0,1,24,13,30,93
956,0,4.0,15,57,A,1,63.0,M,H,40208.0,18,28,37,68,101
957,1,4.0,18,33,A,1,73.0,F,H,41999.0,10,11,17,42,38
958,0,4.0,15,41,A,0,38.0,M,H,41999.0,6,8,17,43,44
959,1,4.0,15,124,S,1,64.0,M,H,46332.0,15,39,17,50,104
960,0,5.0,18,29,A,1,69.0,F,H,36364.0,7,7,19,38,34
961,0,5.0,21,45,A,1,59.0,M,H,70410.0,7,10,18,42,47
962,1,5.0,18,111,A,0,41.0,F,H,49518.0,4,20,19,50,93
963,0,10.0,23,52,A,0,81.0,M,H,76873.0,4,10,17,32,39
964,1,10.0,26,33,A,0,46.0,F,H,76873.0,3,3,16,42,38
965,0,15.0,20,80,S,1,58.0,F,H,76873.0,10,28,19,48,87
966,1,15.0,20,92,A,1,75.0,M,H,38794.0,6,14,19,50,86
967,1,20.0,20,40,A,0,72.0,F,U,61343.0,6,7,18,47,48
968,0,20.0,26,83,A,0,72.0,F,U,61343.0,1,6,7,19,35
969,0,20.0,16,16,F,0,63.0,F,H,71392.0,1,1,17,22,20
970,0,20.0,18,105,A,1,75.0,F,H,71392.0,5,17,21,49,90
971,0,20.0,18,44,A,1,27.0,M,H,71392.0,6,10,13,32,37
972,0,20.0,17,41,A,1,78.0,M,H,68219.0,12,15,22,50,53
973,1,20.0,17,110,S,1,78.0,M,H,42295.0,12,33,36,65,131
974,0,75.0,17,24,N,0,57.0,F,H,42295.0,4,4,19,34,30
975,1,75.0,24,24,N,0,67.0,M,U,52974.0,2,2,17,33,29
976,1,10.0,4,68,E,1,75.0,M,U,59226.0,7,25,14,26,47
977,1,25.0,25,130,A,1,87.0,F,H,42429.0,6,21,17,48,92
978,1,25.0,15,81,A,1,81.0,F,U,42429.0,2,12,19,40,85
979,1,23.0,17,68,A,0,51.0,F,H,40925.0,2,10,19,38,75
980,0,24.0,18,85,A,0,37.0,M,H,51926.0,1,10,19,38,82
981,1,24.0,16,106,E,0,38.0,F,U,51926.0,6,28,6,18,59
982,1,5.0,18,18,F,0,38.0,F,U,51926.0,2,2,14,21,17
983,0,25.0,22,67,A,0,38.0,M,H,63202.0,1,5,14,21,31
984,0,25.0,21,76,A,1,51.0,F,U,63202.0,7,22,15,44,74
985,0,25.0,18,40,A,0,45.0,M,H,35446.0,3,4,19,45,45
986,0,25.0,19,32,A,0,79.0,F,U,35446.0,7,8,20,40,37
987,0,25.0,18,68,S,1,79.0,M,H,35446.0,2,16,19,41,79
988,1,25.0,18,124,S,1,42.0,F,H,36946.0,4,24,19,52,111
989,0,10.0,5,75,S,1,54.0,M,U,36946.0,10,37,38,68,116
990,0,10.0,15,88,A,1,54.0,F,H,36946.0,14,32,21,54,88
991,1,10.0,18,105,S,1,86.0,F,H,44404.0,3,20,19,48,94
992,0,15.0,17,75,A,0,71.0,F,U,44404.0,2,9,21,43,82
993,1,15.0,17,65,A,0,73.0,F,H,43310.0,4,11,19,39,62
994,1,21.0,26,41,A,1,28.0,F,U,43310.0,5,8,15,48,50
995,1,20.0,19,53,S,1,43.0,M,U,43310.0,11,20,19,50,66
996,1,5.0,15,127,S,1,76.0,M,H,43310.0,5,31,13,34,80
997,0,10.0,17,80,A,1,60.0,M,U,43310.0,3,21,21,54,94
998,0,10.0,5,29,A,0,72.0,F,U,43310.0,4,6,45,66,63
999,1,10.0,21,43,E,0,72.0,M,U,43310.0,5,11,8,20,26
1000,0,6.0,21,128,A,1,72.0,M,H,64434.0,5,30,15,46,102
1001,1,6.0,16,53,S,1,36.0,M,H,64434.0,7,15,20,47,61
1002,0,10.0,15,74,A,0,84.0,F,H,64434.0,3,10,18,37,62
1003,1,10.0,19,113,A,0,74.0,M,H,69558.0,3,16,21,43,90
1004,1,5.0,18,68,S,1,58.0,M,H,69558.0,14,38,20,51,81
1005,1,21.0,15,70,A,0,82.0,F,U,79524.0,2,8,17,37,73
1006,0,17.0,17,17,F,0,67.0,M,H,79524.0,2,2,14,21,18
1007,1,17.0,18,38,S,1,56.0,F,U,76025.0,7,8,20,49,48
1008,0,20.0,20,40,A,0,49.0,M,H,76025.0,5,8,18,47,50
1009,0,20.0,14,67,A,1,73.0,M,H,76025.0,0,15,41,41,103
1010,1,20.0,22,124,S,1,65.0,F,H,76025.0,10,31,19,52,95
1011,0,20.0,25,118,A,1,79.0,F,H,55882.0,2,18,17,38,102
1012,0,20.0,16,79,A,1,78.0,M,H,55882.0,1,11,19,38,74
1013,1,20.0,7,64,A,1,52.0,M,H,55882.0,10,21,38,71,116
1014,1,20.0,18,69,A,1,61.0,M,H,55882.0,1,14,19,38,71
1015,1,15.0,20,87,A,0,68.0,M,U,55882.0,3,11,18,42,57
1016,0,20.0,18,76,A,0,85.0,F,U,33583.0,3,8,12,38,59
1017,0,20.0,17,24,N,1,85.0,M,U,33583.0,7,7,19,34,32
1018,0,20.0,18,41,A,1,72.0,M,U,33581.0,6,10,19,45,49
1019,0,20.0,18,93,S,1,70.0,F,H,33581.0,12,31,20,49,90
1020,0,20.0,17,17,F,0,75.0,F,H,64275.0,2,2,14,21,18
1021,0,20.0,18,74,S,1,75.0,F,U,64275.0,11,35,34,66,105
1022,1,20.0,23,69,S,1,75.0,M,U,79249.0,3,16,18,49,81
1023,0,10.0,25,57,A,0,77.0,F,H,79249.0,6,9,19,52,72
1024,1,10.0,16,115,A,1,79.0,M,U,44789.0,9,18,16,36,58
1025,1,17.0,17,51,A,1,73.0,F,U,44789.0,5,11,19,50,63
1026,1,25.0,15,15,E,0,73.0,F,U,52299.0,1,1,9,11,12
1027,1,10.0,6,81,A,0,47.0,M,H,52299.0,4,12,33,55,96
1028,0,5.0,18,122,A,1,59.0,F,H,52299.0,1,14,19,35,89
1029,0,5.0,26,41,A,0,56.0,F,U,52299.0,5,9,18,51,53
1030,0,5.0,18,52,A,0,56.0,M,H,48226.0,1,4,19,33,53
1031,1,5.0,17,130,A,1,50.0,M,H,48226.0,5,24,18,46,101
1032,0,30.0,17,39,A,0,71.0,M,U,48226.0,3,5,19,46,45
1033,1,30.0,17,93,A,0,71.0,M,U,48226.0,1,8,21,34,77
1034,1,10.0,18,120,S,1,71.0,F,H,66256.0,4,24,21,48,96
1035,1,5.0,19,110,S,1,75.0,F,U,66256.0,3,34,14,29,88
1036,0,20.0,18,52,A,0,53.0,F,H,66256.0,1,4,14,28,43
1037,0,20.0,16,123,S,1,32.0,M,H,66256.0,4,28,19,46,111
1038,1,20.0,18,125,A,0,32.0,M,U,66256.0,3,15,19,52,92
1039,1,15.0,21,28,A,0,76.0,M,U,66256.0,4,4,15,32,32
1040,0,12.0,16,29,A,0,76.0,M,H,32547.0,7,7,19,38,34
1041,0,12.0,17,113,A,1,76.0,M,H,56069.0,2,12,9,21,43
1042,1,12.0,20,102,A,1,75.0,F,U,56069.0,2,17,19,39,90
1043,1,8.0,16,45,A,0,45.0,F,U,51939.0,10,12,22,47,52
1044,0,9.0,16,77,A,1,84.0,M,U,51939.0,7,22,11,37,63
1045,1,9.0,17,41,S,1,84.0,M,H,33286.0,15,18,11,37,40
1046,1,23.0,18,123,A,1,67.0,F,H,33286.0,1,17,21,40,102
1047,0,12.0,18,52,A,0,59.0,F,U,33286.0,4,9,16,38,47
1048,0,12.0,21,104,A,1,34.0,F,U,33286.0,2,13,18,46,91
1049,1,12.0,18,41,A,0,34.0,F,U,33286.0,6,8,18,39,36
1050,0,12.0,16,16,F,0,71.0,M,U,34909.0,2,2,15,22,18
1051,1,12.0,19,77,S,1,46.0,F,H,48602.0,8,20,19,50,82
1052,0,15.0,17,32,A,0,56.0,F,U,48602.0,6,6,19,42,39
1053,0,15.0,21,81,A,0,62.0,F,H,37692.0,3,9,18,48,78
1054,1,15.0,17,44,A,1,55.0,F,U,37692.0,7,10,21,48,52
1055,1,35.0,26,35,A,0,45.0,M,H,61534.0,1,2,13,29,34
1056,0,5.0,20,20,F,0,43.0,F,H,35460.0,1,1,14,21,20
1057,1,5.0,18,125,A,1,72.0,F,H,35460.0,11,28,17,46,88
1058,1,5.0,15,105,S,1,34.0,M,U,35460.0,6,28,18,41,89
1059,0,50.0,19,52,A,0,34.0,F,H,61471.0,4,12,20,53,69
1060,1,50.0,17,44,A,1,36.0,F,U,61471.0,9,10,19,46,52
1061,1,10.0,22,130,S,1,68.0,M,U,59625.0,4,25,18,47,104
1062,1,18.0,17,53,A,0,72.0,F,H,82495.0,4,8,21,52,63
1063,0,10.0,17,65,A,0,73.0,F,H,82495.0,9,19,25,50,87
1064,1,10.0,17,81,S,1,73.0,F,H,55485.0,5,21,12,30,56
1065,0,5.0,21,112,A,0,36.0,M,H,43639.0,5,11,19,43,76
1066,0,5.0,18,35,A,0,72.0,M,U,43639.0,3,5,20,47,45
1067,1,5.0,18,91,S,1,72.0,M,H,43639.0,4,25,18,44,81
1068,0,5.0,16,105,A,1,27.0,F,U,36433.0,6,37,30,55,118
1069,0,5.0,15,20,N,0,52.0,F,U,36433.0,2,2,17,24,23
1070,1,5.0,22,32,A,0,52.0,F,H,45345.0,9,9,18,46,43
1071,0,20.0,18,127,S,1,71.0,M,U,45345.0,6,29,20,51,111
1072,1,20.0,23,23,N,0,71.0,F,U,45345.0,2,2,13,23,20
1073,1,3.0,18,45,A,1,71.0,M,U,45345.0,9,14,18,46,50
1074,1,20.0,5,75,A,1,71.0,M,H,53090.0,8,26,37,70,115
1075,0,13.0,18,24,N,0,65.0,F,H,60060.0,6,6,19,34,31
1076,0,13.0,16,20,N,0,36.0,M,U,60060.0,3,3,20,30,27
1077,1,13.0,18,79,A,1,36.0,M,U,60060.0,8,14,14,36,50
1078,0,17.0,18,123,A,1,36.0,F,U,35178.0,7,25,20,53,112
1079,1,17.0,16,56,S,1,69.0,F,H,62369.0,8,17,20,48,66
1080,0,15.0,26,129,A,1,87.0,M,U,62369.0,6,56,13,44,112
1081,0,15.0,18,126,S,1,87.0,F,H,40993.0,10,34,13,39,96
1082,1,15.0,20,32,A,0,49.0,M,H,40993.0,2,2,14,26,30
1083,1,20.0,26,85,S,1,69.0,F,U,40993.0,2,14,15,36,87
1084,0,15.0,15,125,S,1,69.0,F,U,40993.0,16,99,38,71,177
1085,1,15.0,18,111,S,1,69.0,F,U,40993.0,5,30,19,47,101
1086,1,60.0,25,56,A,1,69.0,M,U,40993.0,2,5,21,38,78
1087,1,10.0,24,88,A,1,69.0,M,U,40993.0,8,20,17,49,81
1088,0,15.0,17,20,N,0,69.0,F,H,47060.0,3,3,19,28,25
1089,1,15.0,20,20,F,0,55.0,M,H,47060.0,1,1,14,20,20
1090,0,15.0,16,16,F,0,37.0,F,H,39703.0,2,2,17,24,20
1091,0,15.0,20,31,A,0,39.0,M,H,32350.0,2,2,15,26,29
1092,0,15.0,4,81,A,1,63.0,M,H,32350.0,4,18,37,70,110
1093,1,15.0,18,112,E,1,63.0,F,U,32350.0,2,30,11,23,65
1094,0,10.0,26,88,A,1,51.0,F,U,32350.0,1,9,13,29,68
1095,1,10.0,16,65,A,1,51.0,F,H,40114.0,4,15,19,52,75
1096,0,15.0,16,41,A,1,65.0,F,U,45905.0,6,8,19,49,50
1097,0,15.0,19,86,S,1,65.0,F,U,45905.0,3,17,19,48,90
1098,1,15.0,18,57,A,1,47.0,M,H,53046.0,5,7,21,45,55
1099,1,5.0,15,130,S,1,84.0,M,U,53046.0,9,38,11,41,104
1100,1,3.0,4,33,S,1,72.0,F,H,53046.0,13,15,20,42,42
1101,1,5.0,5,92,A,0,72.0,F,H,43877.0,1,16,28,45,87
1102,1,12.0,18,110,S,1,83.0,M,U,43877.0,7,20,12,38,74
1103,0,4.0,17,105,A,1,86.0,M,U,43877.0,5,16,20,48,90
1104,1,4.0,12,63,S,1,37.0,M,H,50524.0,13,25,30,59,84
1105,1,10.0,19,89,S,1,63.0,F,H,50524.0,10,23,19,52,87
1106,0,10.0,20,93,A,0,73.0,M,U,50524.0,5,9,18,42,70
1107,0,10.0,22,41,A,0,75.0,M,U,50524.0,5,8,19,52,53
1108,1,10.0,20,143,S,1,35.0,M,U,50524.0,14,47,16,45,112
1109,0,7.0,21,21,F,0,77.0,M,U,50524.0,2,2,11,21,18
1110,1,7.0,16,52,E,1,77.0,M,U,50524.0,9,13,9,21,32
1111,1,18.0,17,75,E,1,77.0,F,U,46993.0,6,33,7,19,43
1112,1,8.0,18,104,S,1,77.0,M,H,46993.0,9,33,17,48,100
1113,1,25.0,20,52,A,0,68.0,F,U,46993.0,3,6,19,51,65
1114,0,30.0,17,86,S,1,70.0,M,U,46993.0,6,22,26,56,94
1115,1,30.0,23,23,N,0,32.0,M,U,46993.0,2,2,14,28,26
1116,0,15.0,17,57,A,1,79.0,F,U,46993.0,10,18,19,52,65
1117,1,15.0,16,31,A,0,79.0,M,U,46993.0,4,4,15,35,31
1118,1,11.0,15,23,N,0,79.0,M,U,46993.0,4,4,16,26,23
1119,1,10.0,15,41,A,1,79.0,F,H,35761.0,12,14,19,50,51
1120,1,20.0,20,20,F,0,83.0,F,U,44656.0,1,1,14,21,21
1121,1,10.0,16,121,S,1,83.0,F,H,49133.0,7,29,11,31,75
1122,1,10.0,18,65,A,0,38.0,M,U,49133.0,3,7,19,40,73
1123,0,15.0,17,77,A,0,38.0,F,H,63299.0,2,12,19,47,72
1124,1,15.0,19,130,A,1,64.0,M,U,63299.0,3,28,19,52,108
1125,1,5.0,18,53,S,1,64.0,F,H,34341.0,10,15,18,46,53
1126,0,20.0,17,114,S,1,48.0,F,U,34341.0,6,24,16,45,92
1127,1,20.0,5,113,A,0,41.0,M,U,34341.0,3,13,20,40,85
1128,0,0.0,14,124,S,1,79.0,F,H,33065.0,6,33,19,43,98
1129,1,10.0,15,105,A,1,79.0,F,U,34943.0,7,25,9,33,78
1130,1,23.0,18,130,A,1,82.0,M,H,35314.0,2,21,19,41,107
1131,0,15.0,17,17,F,0,63.0,F,U,35314.0,2,2,16,23,20
1132,0,15.0,18,68,S,1,69.0,M,H,36042.0,13,38,19,52,82
1133,0,15.0,15,114,S,1,46.0,M,H,36042.0,11,27,20,50,94
1134,0,15.0,23,56,N,0,71.0,M,H,36042.0,2,3,11,27,33
1135,0,15.0,20,42,A,0,37.0,F,H,36042.0,2,5,18,38,47
1136,0,15.0,18,67,S,1,73.0,F,U,36042.0,1,12,19,39,77
1137,0,15.0,18,52,A,0,73.0,F,H,44003.0,1,3,15,26,42
1138,1,15.0,18,40,A,1,77.0,F,H,32263.0,4,7,18,47,49
1139,1,12.0,18,89,A,1,75.0,M,H,32263.0,2,19,19,38,83
1140,1,10.0,18,33,S,1,68.0,M,H,32263.0,8,10,18,43,41
1141,0,20.0,17,198,A,0,84.0,F,H,40839.0,2,23,24,45,80
1142,1,20.0,18,27,A,1,73.0,M,U,34330.0,6,6,22,41,37
1143,1,11.0,18,126,A,1,73.0,F,H,17589.0,2,22,19,38,96
1144,0,15.0,20,101,A,1,68.0,F,H,39664.0,2,16,15,36,89
1145,0,15.0,6,131,A,1,79.0,F,H,39664.0,4,30,29,58,116
1146,0,15.0,17,56,A,1,59.0,F,H,36879.0,6,18,29,60,92
1147,1,15.0,17,53,A,0,69.0,F,H,36879.0,4,7,20,47,56
1148,1,11.0,21,102,S,1,44.0,F,U,36879.0,6,38,20,48,98
1149,0,20.0,21,122,A,1,77.0,F,H,55303.0,4,20,19,50,94
1150,0,20.0,15,123,A,1,68.0,M,U,38464.0,8,78,44,70,148
1151,1,20.0,21,21,F,0,72.0,F,H,46780.0,2,2,15,25,22
1152,0,4.0,18,65,A,0,72.0,M,H,46780.0,2,12,24,41,83
1153,1,4.0,21,34,A,1,61.0,F,U,46780.0,11,11,18,44,43
1154,1,25.0,26,52,A,0,61.0,M,U,38632.0,2,4,15,28,45
1155,1,20.0,16,104,A,0,50.0,M,H,38632.0,3,9,21,50,81
1156,0,16.0,18,107,S,1,41.0,F,H,49147.0,4,18,20,37,69
1157,1,16.0,17,33,A,0,41.0,M,H,49147.0,6,6,18,44,40
1158,1,10.0,26,44,A,0,41.0,F,U,49147.0,1,4,13,33,48
1159,0,10.0,19,88,A,0,64.0,M,H,25380.0,2,7,19,33,63
1160,1,10.0,19,41,A,1,75.0,F,H,38261.0,7,12,19,49,52
1161,0,5.0,17,110,A,1,69.0,F,U,53324.0,2,21,20,42,106
1162,0,5.0,24,32,A,0,39.0,F,U,53324.0,4,4,14,35,32
1163,1,5.0,16,56,A,1,51.0,M,H,53324.0,8,15,19,49,69
1164,0,12.0,21,53,S,1,75.0,F,H,174305.0,6,16,17,32,41
1165,1,12.0,18,109,S,1,76.0,F,U,174305.0,3,22,20,42,74
1166,0,7.0,16,53,S,1,76.0,M,H,50351.0,5,11,19,50,62
1167,1,7.0,19,77,S,1,79.0,F,H,52313.0,6,22,10,40,72
1168,1,20.0,19,93,A,0,75.0,F,U,35119.0,1,9,15,26,68
1169,0,15.0,16,89,A,0,61.0,M,H,35119.0,11,17,20,51,78
1170,1,15.0,20,115,S,1,80.0,F,U,39015.0,3,18,19,40,103
1171,1,15.0,24,24,N,0,45.0,F,U,39015.0,2,2,10,24,21
1172,0,5.0,19,86,A,1,45.0,F,H,39015.0,4,19,19,36,61
1173,1,5.0,17,33,E,1,73.0,F,U,39015.0,9,10,6,17,18
1174,0,15.0,4,64,A,1,73.0,F,U,41061.0,6,23,20,52,74
1175,0,15.0,25,77,A,0,74.0,M,H,41061.0,2,12,17,50,80
1176,0,15.0,18,51,A,0,68.0,F,H,50021.0,3,11,19,40,57
1177,0,15.0,18,112,S,1,86.0,M,H,50021.0,6,28,13,33,84
1178,1,15.0,21,64,A,0,75.0,M,U,50021.0,3,9,18,44,65
1179,1,20.0,22,29,A,0,75.0,M,H,37377.0,4,4,14,33,31
1180,0,7.0,17,44,A,0,83.0,F,H,37377.0,7,8,18,45,51
1181,1,7.0,19,110,E,1,66.0,M,U,37377.0,5,16,6,18,53
1182,1,25.0,22,65,A,0,52.0,F,H,37377.0,3,5,21,50,61
1183,1,15.0,16,56,A,1,37.0,M,H,37377.0,12,22,21,53,72
1184,0,45.0,18,56,A,0,48.0,M,U,37377.0,1,5,16,33,54
1185,1,45.0,16,23,E,0,48.0,M,U,37377.0,5,5,6,12,11
1186,1,10.0,16,109,S,1,48.0,F,U,37377.0,6,28,13,37,89
1187,1,20.0,17,24,N,0,72.0,F,U,37377.0,5,5,18,34,30
1188,1,9.0,17,28,A,0,57.0,F,U,73831.0,5,6,19,38,36
1189,0,5.0,16,72,A,0,57.0,M,U,73831.0,3,11,20,39,71
1190,1,5.0,16,32,A,1,48.0,F,U,73831.0,12,13,19,44,41
1191,0,5.0,9,114,A,1,77.0,F,U,73831.0,8,14,36,64,82
1192,1,5.0,18,64,A,0,43.0,F,U,73831.0,7,14,11,40,58
1193,1,5.0,17,50,S,1,72.0,F,U,73831.0,8,15,19,45,53
1194,1,25.0,21,21,N,0,74.0,M,U,73831.0,2,2,16,26,23
1195,0,3.0,21,28,A,1,62.0,M,U,73831.0,9,11,18,40,38
1196,1,3.0,16,65,A,1,23.0,M,U,73831.0,11,23,14,40,61
1197,1,15.0,15,15,E,0,23.0,F,U,73831.0,1,1,9,11,12
1198,0,15.0,15,52,E,0,23.0,M,U,73831.0,3,6,13,31,39
1199,1,15.0,18,53,A,0,45.0,M,U,73831.0,2,6,18,37,54
1200,1,2.0,16,130,S,1,84.0,M,U,73930.0,5,45,17,43,103
1201,0,20.0,18,21,N,0,41.0,M,H,43692.0,2,3,20,32,27
1202,1,20.0,24,24,N,0,52.0,M,H,43692.0,2,2,10,24,21
1203,0,10.0,15,15,F,0,47.0,F,H,43692.0,1,1,15,19,18
1204,0,10.0,17,57,A,0,37.0,M,H,34491.0,6,12,20,53,69
1205,1,10.0,15,69,A,0,17.0,F,H,34491.0,10,25,12,31,53
1206,0,25.0,6,128,S,1,29.0,F,U,34491.0,5,34,38,69,135
1207,1,25.0,17,130,A,1,29.0,F,H,54028.0,4,24,31,45,98
1208,1,10.0,17,130,S,1,74.0,F,U,54028.0,2,24,8,19,51
1209,0,5.0,25,110,E,0,74.0,F,U,54028.0,1,8,7,15,57
1210,0,5.0,17,69,S,1,74.0,M,H,50162.0,7,18,21,53,83
1211,1,5.0,17,76,A,1,82.0,M,U,50162.0,3,17,46,74,127
1212,0,10.0,16,65,A,0,82.0,M,H,50162.0,6,10,21,48,63
1213,1,10.0,16,77,S,1,67.0,M,H,51488.0,5,13,19,34,61
1214,1,6.0,15,81,S,1,78.0,F,H,42230.0,10,34,21,53,100
1215,1,20.0,17,76,A,0,39.0,F,H,42230.0,3,8,19,48,70
1216,0,12.0,18,127,S,1,65.0,F,H,42155.0,7,39,19,52,116
1217,1,12.0,6,69,S,1,65.0,M,H,42155.0,11,26,37,69,105
1218,0,5.0,4,119,A,1,65.0,M,H,39689.0,3,17,30,48,87
1219,1,5.0,18,111,S,1,65.0,M,H,39689.0,9,30,15,42,95
1220,1,10.0,4,118,A,1,70.0,M,H,50359.0,6,36,43,72,156
1221,0,6.0,26,93,A,1,76.0,F,H,50359.0,3,11,13,40,70
1222,1,6.0,16,86,A,1,78.0,M,H,50359.0,9,18,20,49,86
1223,1,25.0,20,35,A,0,47.0,M,H,50359.0,2,4,14,31,30
1224,1,20.0,18,81,A,1,86.0,F,H,51648.0,2,11,19,45,74
1225,1,22.0,18,44,A,0,76.0,M,H,51648.0,3,4,21,38,48
1226,0,20.0,17,17,F,0,39.0,F,U,51648.0,2,2,14,21,18
1227,1,20.0,8,41,S,1,48.0,F,H,57365.0,11,16,35,64,72
1228,1,100.0,26,68,A,0,78.0,M,U,57365.0,3,7,15,46,71
1229,0,30.0,19,75,A,0,73.0,F,H,50000.0,8,13,16,41,63
1230,0,30.0,21,130,A,1,85.0,M,H,35963.0,4,47,14,40,110
1231,0,30.0,15,40,E,0,55.0,F,U,35963.0,5,7,6,18,20
1232,1,30.0,26,53,A,0,55.0,F,U,35963.0,1,3,14,28,44
1233,1,5.0,18,63,A,1,51.0,M,H,82900.0,10,18,18,48,64
1234,0,20.0,18,111,S,1,81.0,M,U,82900.0,5,32,19,42,91
1235,1,20.0,18,68,A,1,81.0,F,U,50864.0,2,9,19,36,66
1236,0,20.0,17,35,A,1,72.0,F,U,50864.0,16,17,19,45,42
1237,1,20.0,21,93,A,0,72.0,M,H,37481.0,2,16,30,58,103
1238,1,25.0,16,109,A,1,80.0,M,H,37481.0,9,18,39,70,151
1239,0,11.0,20,110,S,1,72.0,M,U,37481.0,7,30,19,49,102
1240,1,11.0,26,98,A,1,80.0,F,U,37481.0,5,23,13,40,84
1241,0,5.0,18,33,E,1,82.0,M,U,37481.0,7,9,6,17,17
1242,1,5.0,15,128,S,1,82.0,F,H,45651.0,9,31,15,44,91
1243,1,10.0,18,80,A,0,78.0,M,U,45651.0,6,16,21,52,84
1244,1,10.0,18,111,A,1,78.0,F,U,45651.0,4,27,20,51,110
1245,1,35.0,19,66,A,0,79.0,M,H,45651.0,1,7,21,37,65
1246,1,15.0,17,17,F,0,32.0,F,H,45651.0,2,2,14,21,18
1247,0,10.0,17,17,F,0,37.0,M,U,34101.0,2,2,14,21,18
1248,0,10.0,18,63,A,1,71.0,F,H,34101.0,6,17,19,52,74
1249,1,10.0,17,122,A,1,58.0,F,H,35641.0,8,22,19,52,90
1250,0,8.0,16,127,S,1,75.0,M,H,41687.0,7,34,17,43,97
1251,1,8.0,15,54,A,1,72.0,M,H,41687.0,5,14,11,36,47
1252,1,2.0,15,52,A,0,74.0,F,U,41687.0,4,14,25,49,53
1253,1,10.0,17,64,A,0,74.0,M,H,39772.0,5,8,17,48,68
1254,0,5.0,16,40,A,0,51.0,M,H,39772.0,2,3,14,35,36
